ROW_NUMBER,TRANSACTION_TYPE,ERRORS,DATA_SOURCE_IP,DATA_DEST_IP,DATA_IAT_VARIANCE,DATA_DNS_ENTROPY,DATA_BYTE_STABILITY,DATA_RISK_SCORE
88,unknown,Cannot determine transaction type from row data,192.168.1.51,10.0.0.3,5.799956611733506,1.901175117613194,3.154629590845849,0.143362975333909
89,unknown,Cannot determine transaction type from row data,192.168.1.91,192.168.1.52,29.800074607885744,3.020942556806546,1.8408175319387772,0.1880247738451038
90,unknown,Cannot determine transaction type from row data,192.168.1.81,10.0.0.33,30.264074437039483,2.8841828300374193,3.9601298359192887,0.03252023246963439
91,unknown,Cannot determine transaction type from row data,192.168.1.69,192.168.1.34,24.10773745239778,1.6182615821570283,3.1084247051228227,0.1261314915552253
92,unknown,Cannot determine transaction type from row data,192.168.1.23,192.168.1.80,12.635494495717557,2.481749489606429,1.3184603797961518,0.12752687633011348
93,unknown,Cannot determine transaction type from row data,192.168.1.67,192.168.1.96,41.7156756186565,1.5446397424032596,1.3653005846390185,0.02389532953060281
94,unknown,Cannot determine transaction type from row data,192.168.1.5,192.168.1.92,6.749257481684082,2.2974306184148174,2.9049057667963534,0.13103710465247528
95,unknown,Cannot determine transaction type from row data,192.168.1.46,192.168.1.34,23.155473232058547,1.843165529360058,0.9153076380293574,0.17358943397913967
96,unknown,Cannot determine transaction type from row data,192.168.1.86,192.168.1.56,55.647982029249725,1.3221559197097275,1.7459494166624168,0.28410843512964085
97,unknown,Cannot determine transaction type from row data,192.168.1.99,192.168.1.47,31.648764185506174,2.436509543060592,2.160111378063976,0.16726180348527028
98,unknown,Cannot determine transaction type from row data,192.168.1.26,192.168.1.14,12.321431072311304,2.574331010806662,4.299983026851329,0.2648695188829197
99,unknown,Cannot determine transaction type from row data,192.168.1.18,192.168.1.38,18.33587769991013,1.7384864618987619,2.197778733970802,0.016824207244426966
100,unknown,Cannot determine transaction type from row data,192.168.1.57,192.168.1.17,23.012354369785307,1.4395242636385024,4.507372763329528,0.21182143420837654
101,unknown,Cannot determine transaction type from row data,192.168.1.68,10.0.0.38,32.414320941098154,1.3738405761748473,2.916979438183465,0.2095259801270989
102,unknown,Cannot determine transaction type from row data,192.168.1.8,10.0.0.13,25.832494427320913,1.8748936677438361,4.548413287152555,0.21656877557981474
103,unknown,Cannot determine transaction type from row data,192.168.1.59,192.168.1.59,0.048856210729194084,4.355840187603992,0.010178247262040375,0.7866861934042397
104,unknown,Cannot determine transaction type from row data,192.168.1.4,192.168.1.94,20.680234278161592,1.5467471905895096,4.535444410818913,0.03727947352495835
105,unknown,Cannot determine transaction type from row data,192.168.1.31,192.168.1.40,59.84905441226169,2.9932205259480416,3.0919928801254697,0.32191450844908076
106,unknown,Cannot determine transaction type from row data,192.168.1.79,10.0.0.34,0.039769153561443976,5.084344144932663,0.08208614731533526,0.9224297450007729
107,unknown,Cannot determine transaction type from row data,192.168.1.75,10.0.0.36,51.122040728644365,1.6101551202989182,4.8559732992690545,0.2517238428044944
108,unknown,Cannot determine transaction type from row data,192.168.1.84,192.168.1.20,11.316025360656194,2.421240084883265,1.798837489581151,0.20762099528368816
109,unknown,Cannot determine transaction type from row data,192.168.1.11,192.168.1.100,37.663570365684436,1.9384609630197922,2.5442058749859484,0.19652506009897208
110,unknown,Cannot determine transaction type from row data,192.168.1.10,10.0.0.30,49.543094522004914,1.7092813095275277,3.566762250007682,0.2684774723624934
111,unknown,Cannot determine transaction type from row data,192.168.1.75,10.0.0.43,27.65125027809977,1.8977365330859906,4.682881149115216,0.29241059864782787
112,unknown,Cannot determine transaction type from row data,192.168.1.50,192.168.1.78,0.07928342864013387,4.307502715079856,0.037922858496380045,0.9723478616615306
113,unknown,Cannot determine transaction type from row data,192.168.1.64,192.168.1.60,12.687480714445922,2.7905346237197803,1.4073229402148504,0.06564302057433953
114,unknown,Cannot determine transaction type from row data,192.168.1.85,192.168.1.5,39.856721004609746,3.0157322609250317,1.9228846203342258,0.21002426977031927
115,unknown,Cannot determine transaction type from row data,192.168.1.18,192.168.1.40,44.25803501704293,2.999334890584346,3.3084569488182693,0.19352556105097524
116,unknown,Cannot determine transaction type from row data,192.168.1.63,10.0.0.43,24.544934850011774,1.9829642204030038,2.893358658596783,0.03265049821287777
117,unknown,Cannot determine transaction type from row data,192.168.1.51,192.168.1.39,56.69076679874113,2.4554161061428355,2.0070752659568876,0.057352504705551664
118,unknown,Cannot determine transaction type from row data,192.168.1.15,10.0.0.11,34.340360058697684,2.987785166101915,4.048687450510388,0.061569459109135395
119,unknown,Cannot determine transaction type from row data,192.168.1.97,192.168.1.33,36.34393266792241,2.7249173714813812,4.445445365427872,0.12630779456340852
120,unknown,Cannot determine transaction type from row data,192.168.1.38,10.0.0.41,51.5548760453985,1.4549773246639648,2.2877928075216527,0.2810804243650482
121,unknown,Cannot determine transaction type from row data,192.168.1.5,192.168.1.47,47.45350893290348,1.224406144636089,3.1929921554235214,0.20227283808981109
122,unknown,Cannot determine transaction type from row data,192.168.1.26,192.168.1.43,50.47393552949931,3.1181495891280555,2.0413591573034453,0.08729933423019558
123,unknown,Cannot determine transaction type from row data,192.168.1.23,192.168.1.47,38.822264473396,3.023704817685929,1.1260228736437785,0.04427016502540141
124,unknown,Cannot determine transaction type from row data,192.168.1.97,10.0.0.11,37.612959789235184,1.4044253284503991,4.634377350173359,0.2786287766221895
125,unknown,Cannot determine transaction type from row data,192.168.1.37,192.168.1.72,47.41856676858559,1.948870739440844,0.8101469271524846,0.03628916226618766
126,unknown,Cannot determine transaction type from row data,192.168.1.78,192.168.1.40,55.08774090406422,1.4456215636914675,1.5615771556778655,0.06627697352487852
127,unknown,Cannot determine transaction type from row data,192.168.1.36,192.168.1.57,22.129434522510266,1.6547912417542252,3.235524772074164,0.1389639374510866
128,unknown,Cannot determine transaction type from row data,192.168.1.53,10.0.0.37,48.32844387929708,2.4074430634602777,1.0142028502505949,0.1509315586292334
129,unknown,Cannot determine transaction type from row data,192.168.1.90,192.168.1.75,0.03779030966318624,4.72125546713361,0.09184547249393012,0.8908963737927762
130,unknown,Cannot determine transaction type from row data,192.168.1.59,10.0.0.8,0.020609888977815,4.866447931137321,0.01655133174279738,0.7581309984591827
131,unknown,Cannot determine transaction type from row data,192.168.1.33,192.168.1.29,39.77453583557417,1.2261889131766672,3.4859181740751977,0.07053222873571548
132,unknown,Cannot determine transaction type from row data,192.168.1.84,10.0.0.5,27.804326804986307,1.3706993361572877,4.985934133306763,0.18074630351262247
133,unknown,Cannot determine transaction type from row data,192.168.1.1,10.0.0.41,28.473389793521218,2.7995640441485388,2.0722414957219986,0.16919882167006897
134,unknown,Cannot determine transaction type from row data,192.168.1.49,192.168.1.30,37.30994823287409,1.788089358441943,3.713266399054227,0.18940022824922717
135,unknown,Cannot determine transaction type from row data,192.168.1.92,10.0.0.13,35.78021822195198,1.510480491861425,1.31867658722872,0.3030071111445959
136,unknown,Cannot determine transaction type from row data,192.168.1.3,192.168.1.32,54.35867254003863,2.2531569333185875,4.103373971687544,0.3428366881094268
137,unknown,Cannot determine transaction type from row data,192.168.1.32,10.0.0.35,6.490279587691592,1.6439443238658988,1.5398365846463213,0.23844353282356764
138,unknown,Cannot determine transaction type from row data,192.168.1.72,192.168.1.54,36.319393476992516,2.974920965027006,3.0052471315251474,0.2550764527455722
139,unknown,Cannot determine transaction type from row data,192.168.1.35,192.168.1.96,0.04865259477198139,5.210275223443879,0.09626493185548747,0.9766583341385456
140,unknown,Cannot determine transaction type from row data,192.168.1.54,10.0.0.42,54.29847001866159,1.226003847021472,0.8847883888451064,0.08068132674964927
141,unknown,Cannot determine transaction type from row data,192.168.1.19,10.0.0.12,37.06728585333307,2.042849101184996,4.517022699846387,0.2879308109910699
142,unknown,Cannot determine transaction type from row data,192.168.1.20,192.168.1.11,25.88308244919968,2.3805898850296154,1.7062863837029432,0.22221062866870556
143,unknown,Cannot determine transaction type from row data,192.168.1.38,10.0.0.37,21.195616774805472,3.0969066139243133,3.936226073718924,0.057638479760593865
144,unknown,Cannot determine transaction type from row data,192.168.1.74,10.0.0.20,0.03821417076281134,4.273160708232375,0.04847783671503462,0.8729898374116611
145,unknown,Cannot determine transaction type from row data,192.168.1.9,192.168.1.40,27.14025239783393,1.636046214988173,3.4027437549619823,0.15337933774811582
146,unknown,Cannot determine transaction type from row data,192.168.1.26,192.168.1.29,19.97690295856529,1.2367813530949334,4.614344629522246,0.050035368182647984
147,unknown,Cannot determine transaction type from row data,192.168.1.100,192.168.1.41,35.47979013836864,2.5028407767037284,4.233838116682407,0.08018323239860507
148,unknown,Cannot determine transaction type from row data,192.168.1.86,192.168.1.27,0.0700373161274387,4.896119653255463,0.06005168604336534,0.9096088018911013
149,unknown,Cannot determine transaction type from row data,192.168.1.71,10.0.0.38,0.03408287146647378,4.574707792374246,0.051891770528283754,0.7612718320260132
150,unknown,Cannot determine transaction type from row data,192.168.1.54,10.0.0.7,9.968532831768433,2.741971851070957,0.8071236740934121,0.29460685683903
151,unknown,Cannot determine transaction type from row data,192.168.1.11,10.0.0.13,38.572256685437665,3.0986135941155313,2.284922178734244,0.33438955842347523
152,unknown,Cannot determine transaction type from row data,192.168.1.22,192.168.1.69,19.84511723157072,2.2796855578163866,1.2290624505121308,0.2961200845054147
153,unknown,Cannot determine transaction type from row data,192.168.1.81,10.0.0.9,39.28329029977449,2.148474617400739,2.0497267941990494,0.12952365478563438
154,unknown,Cannot determine transaction type from row data,192.168.1.1,192.168.1.61,28.915503623206043,1.6928040664782136,4.185960429533899,0.28180139884945293
155,unknown,Cannot determine transaction type from row data,192.168.1.44,10.0.0.2,24.853564331701474,1.3831641466532683,4.627911089580093,0.05651833451244687
156,unknown,Cannot determine transaction type from row data,192.168.1.74,192.168.1.57,15.18231108612408,2.2838018947567162,4.428256261443837,0.25895646137925077
157,unknown,Cannot determine transaction type from row data,192.168.1.21,192.168.1.81,43.07521104848188,2.8983913031306385,1.6235060398663368,0.17640448763866776
158,unknown,Cannot determine transaction type from row data,192.168.1.15,192.168.1.59,0.07558068783524245,4.059140217052759,0.07055751725156885,0.9720595961797598
159,unknown,Cannot determine transaction type from row data,192.168.1.23,192.168.1.26,55.3518563673423,1.2678919571715976,3.6383912026107796,0.11109866250666725
160,unknown,Cannot determine transaction type from row data,192.168.1.48,192.168.1.72,0.07559705263996128,4.711321324986196,0.08620426509893135,0.9526918556484169
161,unknown,Cannot determine transaction type from row data,192.168.1.18,10.0.0.3,37.79484331651292,1.660017674575406,1.0425509859977546,0.03616408855393111
162,unknown,Cannot determine transaction type from row data,192.168.1.37,10.0.0.8,49.21873386704937,2.276802980761575,3.477448287862437,0.2608709607482185
163,unknown,Cannot determine transaction type from row data,192.168.1.33,192.168.1.16,53.21659578243472,2.0350121680557844,2.578742827590144,0.3467160465362042
164,unknown,Cannot determine transaction type from row data,192.168.1.13,10.0.0.41,56.29244501838891,1.340059411494942,0.5426844513282414,0.027912504232257718
165,unknown,Cannot determine transaction type from row data,192.168.1.93,192.168.1.62,39.51280047701035,2.9473542283726775,4.928375611396828,0.2712129607139362
166,unknown,Cannot determine transaction type from row data,192.168.1.25,10.0.0.3,45.27494939515548,1.2066927240859584,2.6028984494194365,0.11098097799465993
167,unknown,Cannot determine transaction type from row data,192.168.1.68,10.0.0.46,7.315125429999903,1.2357478694668276,4.944750753812142,0.1554428654701932
168,unknown,Cannot determine transaction type from row data,192.168.1.49,10.0.0.21,17.003963832578528,3.099922367900451,4.038552564869985,0.04039974078616823
169,unknown,Cannot determine transaction type from row data,192.168.1.70,192.168.1.39,56.96026122602757,2.1348030224997396,3.2603512514481845,0.06679154167130558
170,unknown,Cannot determine transaction type from row data,192.168.1.52,192.168.1.4,56.85024757743191,2.499293297984737,3.234815576954866,0.18431409374561292
171,unknown,Cannot determine transaction type from row data,192.168.1.74,10.0.0.7,17.126741498859644,1.572876524288509,4.00813013105039,0.12904258811668823
172,unknown,Cannot determine transaction type from row data,192.168.1.5,192.168.1.54,0.07081908491211063,5.3916284247928195,0.09949078226464353,0.791734859812677
173,unknown,Cannot determine transaction type from row data,192.168.1.35,192.168.1.82,13.464274848692028,2.8316662499812355,1.509982573264973,0.08609798903969183
174,unknown,Cannot determine transaction type from row data,192.168.1.89,192.168.1.73,52.30697490298581,2.1148641955474146,2.260263947361709,0.10280618745114707
175,unknown,Cannot determine transaction type from row data,192.168.1.29,10.0.0.37,51.870644334085426,1.27084473683709,1.9807311441644195,0.32674042602845654
176,unknown,Cannot determine transaction type from row data,192.168.1.11,10.0.0.24,19.28645810681794,2.6468402273771696,2.7314408078544687,0.0375557134086003
177,unknown,Cannot determine transaction type from row data,192.168.1.60,192.168.1.28,51.81638027268228,2.190293054027949,2.662639597969916,0.21141864678423597
178,unknown,Cannot determine transaction type from row data,192.168.1.58,192.168.1.67,42.29088839074849,2.331463927991582,1.701627215762396,0.3087341953607537
179,unknown,Cannot determine transaction type from row data,192.168.1.19,192.168.1.80,51.7819951001833,2.934588401919605,3.6876333952176568,0.29458453164364845
180,unknown,Cannot determine transaction type from row data,192.168.1.89,192.168.1.100,46.39941517567027,1.5172102105861474,4.4639184163951775,0.30642679943337886
181,unknown,Cannot determine transaction type from row data,192.168.1.31,192.168.1.23,50.09708045744551,1.657250323049847,4.5891558917121555,0.010380837903237225
182,unknown,Cannot determine transaction type from row data,192.168.1.2,192.168.1.77,5.351222944425847,1.7740762663498255,3.27617113269084,0.343603300529324
183,unknown,Cannot determine transaction type from row data,192.168.1.17,10.0.0.4,39.87031367047862,2.279970759431711,4.009304278180146,0.046373417201165855
184,unknown,Cannot determine transaction type from row data,192.168.1.30,192.168.1.74,51.206682650767036,1.9843024228903932,1.3077379554072504,0.2662576035771765
185,unknown,Cannot determine transaction type from row data,192.168.1.22,10.0.0.48,8.731038250784454,1.8019271338936325,3.686774398903767,0.03289920449938238
186,unknown,Cannot determine transaction type from row data,192.168.1.10,10.0.0.18,39.15035347721124,1.2914840676250257,4.421915627685693,0.3409862495203149
187,unknown,Cannot determine transaction type from row data,192.168.1.29,10.0.0.25,8.609437951570712,2.8430258948148817,2.1732508815742606,0.2883871187414118
188,unknown,Cannot determine transaction type from row data,192.168.1.75,192.168.1.58,13.74160558022161,2.137078833537169,4.749366357310234,0.04474583069586446
189,unknown,Cannot determine transaction type from row data,192.168.1.39,192.168.1.15,43.15252241798188,1.6415392255775207,0.8707147052712921,0.24136976270540245
190,unknown,Cannot determine transaction type from row data,192.168.1.22,192.168.1.27,57.97801593920725,1.2626046274950324,3.790715301381585,0.31923833372225824
191,unknown,Cannot determine transaction type from row data,192.168.1.59,192.168.1.84,20.08183612917685,3.1679552959196564,2.3420030284176936,0.3139937292509057
192,unknown,Cannot determine transaction type from row data,192.168.1.15,192.168.1.64,44.32082221112362,2.3255005726867655,2.621896070461307,0.19469915396858575
193,unknown,Cannot determine transaction type from row data,192.168.1.60,10.0.0.45,13.451192098861197,2.107387269210565,2.8865947717771525,0.01607304344262859
194,unknown,Cannot determine transaction type from row data,192.168.1.93,192.168.1.24,0.049715374847138304,5.194805936464265,0.04815223515125501,0.7781539653509747
195,unknown,Cannot determine transaction type from row data,192.168.1.17,10.0.0.26,28.66682421947045,1.6010494534006734,2.712175460336466,0.031831038605545585
196,unknown,Cannot determine transaction type from row data,192.168.1.2,192.168.1.88,59.13932740715972,1.4991612853351315,2.5906936848611455,0.24135525296217056
